,speaker,utterance
12276,A,Yeah.
12277,B,"or I think they already would have by now, you know."
12278,A,Uh-huh.
12279,B,"And, uh, so I don't know if, if spending a lot more money would really make any difference right now."
12280,B,"I think they're doing the, is as much research as they can possibly do, you know."
12281,A,Uh-huh.
12282,B,"And, uh, what about you?"
12283,A,"Well, I guess I'm not too aware of how much they're spending right now You know."
12284,B,I'm not either.
12285,B,I'm definitely not aware of how much.
12286,A,Yeah.
12287,B,"Uh, that's something I've never really kept up with at all."
12288,A,"Uh-huh,"
12289,A,yeah.
12290,B,"Uh, I don't,  I'm not sure, uh,"
12291,A,"I mean, I,"
12292,A,go ahead.
12293,B,"I know, uh, I've always thought more about the disease rather than the research,"
12294,B,you know what I mean?
12295,A,Uh-huh.
12296,A,Yeah.
12297,B,"And, uh, that sort of thing."
12298,B,"Uh, if, if we were talking about the money, uh, I'd just have to say what they're spending is probably enough, simply because I don't know that much about it. You know"
12299,A,Yeah.
12300,A,Yeah.
12301,A,"I mean, I, I can see that research is needed"
12302,A,"and, you know,"
12303,B,"Oh, yeah."
12304,A,Definitely.
12305,B,"I think so,"
12306,B,I think so.
12307,A,I mean it's becoming a major problem.
12308,B,Yeah.
12309,A,"But, uh. I guess the area that I think more about is I would like to see them focus on, uh, preventing it, uh in more, You know."
12310,B,Yeah.
12311,B,Yeah.
12312,B,"Well, that's true."
12313,B,"That's true because, uh, it's a, such an easily preventable disease."
12314,A,"Right,"
12315,A,"and I, I feel like just saying, uh, safe sex is not the answer."
12316,B,"Uh,"
12317,A,"It's it's, uh abstinence in certain cases"
12318,B,No.
12319,B,It's definitely not.
12320,A,and
12321,B,"That's true,"
12322,B,that's true.
12323,A,Yeah.
12324,B,"Uh,"
12325,A,"And, knowing, you know,"
12326,B,"Myself, uh, uh, I'm just recently, or about to, get a divorce"
12327,A,Uh-huh.
12328,B,"and, uh, course, I'm not all ready to just run out there and start dating everybody I can or anything."
12329,A,Yeah.
12330,B,"But, it's sort of scary to find yourself single again, you know."
12331,A,Uh-huh.
12332,B,"And, uh, because you never know what's going to happen"
12333,B,"You don't know who you're going to come across, you know."
12334,A,Yeah.
12335,B,"Course, it's, it's not that I'm wanting to, I'm not going to want to go and have sex with everybody I see."
12336,A,Uh-huh.
12337,B,But it's something you got to think about these days.
12338,A,Yeah.
12339,B,"A single person. You know,"
12340,A,Uh-huh.
12341,B,"and, uh, I mean, it certainly changed my attitude about that in a hurry."
12342,A,Yeah.
12343,A,Yeah.
12344,B,"And, uh,"
12345,A,I think for a lot of people it has.
12346,B,Certainly.
12347,A,"So,"
12348,B,Yeah.
12349,A,"So,"
12350,B,"But, uh, uh, I know that, uh, in some of these larger cities they're passing out free syringes and all of that sort of thing to prevent, you know, so that, uh, the drug addicts won't be getting dirty needles and everything."
12351,A,Uh-huh.
12352,A,Drug addicts.
12353,A,Uh-huh.
12354,A,Yeah.
12355,B,"And, uh, I don't know,"
12356,B,I don't think that's a bad idea.
12357,A,Uh-huh.
12358,B,"I know it, uh, sort of doesn't address the problem of drug addiction"
12359,A,Yeah.
12360,B,It just sort of keeps that going.
12361,A,Yeah.
12362,B,"But, uh, I don't know,"
12363,B,"at least drug addiction can be treated whereas AIDS, so far, cannot be. You know,"
12364,A,Uh-huh.
12365,B,"so, I don't know,"
12366,B,"that, I think that's,"
12367,B,"I'm not too much against the, the passing out of the free syringes myself."
12368,A,Uh-huh.
12369,B,"I don't know,"
12370,B,what do you think about that? It really is.
12371,A,"Well, yeah,"
12372,A,boy that's a hard issue
12373,A,It really is.
12374,B,It really is.
12375,B,They gave us a hard topic
12376,A,Yeah
12377,A,"I mean, I, I definitely think that it's the drug problem that needs to be addressed,"
12378,A,"but as you say, uh, people, I mean, in the meantime,"
12379,A,"well someone who's not ready to give up drugs, uh, You know."
12380,B,Uh-huh.
12381,B,That's true.
12382,B,That's true.
12383,A,"If they're perpetrating the AIDS problem, passing that on to each other, then  you know,"
12384,B,Yeah.
12385,B,"You know, I guess if you consider the two problems, drug addiction and AIDS AIDS would have to come first, I guess, as far as something to, to do about it."
12386,A,Yeah.
12387,A,Yeah.
12388,A,Uh-huh.
12389,B,"So, so I don't know."
12390,B,"Uh, course, there's so many things in the world where, if you solve one problem, you may be creating another you know."
12391,A,Yeah.
12392,B,"And, uh, so I guess you just have to take the two problems and see which is worse. Which is the most important to solve at the time"
12393,A,Yeah.
12394,B,"and,"
12395,A,Uh-huh.
12396,B,I don't know.
12397,A,Yeah.
12398,B,"But, uh, but I've never looked into how much money they're spending."
12399,B,"I have, I have no idea."
12400,A,Uh-huh.
12401,B,And I know a lot of our tax money goes to that.
12402,A,Yeah.
12403,B,"But, uh, I really have never looked into it."
12404,B,I have no idea.
12405,A,"Yeah,"
12406,A,I haven't either.
12407,A,"I've heard, you know, uh different voices speaking up and saying we're not spending enough"
12408,B,Yeah.
12409,B,Yeah.
12410,A,"and, Mostly that's what I've heard,"
12411,B,"Right,"
12412,B,sure.
12413,A,"so I don't know,"
12414,B,Yeah.
12415,A,"And, yet, I know it's, uh, it sounds like big money to me"
12416,B,Yeah
12417,A,But it  probably takes  a lot.
12418,B,I think it is.
12419,B,I think it is.
12420,B,"Yeah,"
12421,B,"it does every,"
12422,A,"So,"
12423,B,"It seems to take more than, uh, for any little thing they do,"
12424,B,it seems to take a lot more money that you would think it would. You know.
12425,A,Uh-huh.
12426,A,Yeah.
12427,B,"But, uh,"
12428,A,"Did you have any fear working in the hospital with that,"
12429,B,That's one thing I've never really feared.
12430,A,Uh-huh.
12431,B,"Uh, uh, I,"
12432,B,"a lot of the, my family, you know, they fear me working like that and, under some, some of those conditions,"
12433,B,"but, uh uh, I don't fear it at all."
12434,A,Uh-huh.
12435,A,Uh-huh.
12436,B,"Uh, I work in, in the operating room a lot"
12437,A,Uh-huh.
12438,B,"and, uh, and, of course, when"
12439,A,Hello?
12440,B,Hello.
12441,A,How you doing?
12442,B,Fine.
12443,A,"I'm Lee with, uh, uh,"
12444,A,"I'm over here in Plano, Texas."
12445,B,Okay.
12446,B,"Let me ask you something, can I run a minute and shut my radio off?"
12447,A,"Oh, sure."
12448,B,Okay.
12449,A,Oh.
12450,B,Okay.
12451,A,Where are you calling from
12452,A,or where are you at?
12453,B,Arlington.
12454,B,"Arlington, Texas."
12455,A,Arlington.
12456,B,Yes.
12457,A,"Well, there's a lot of stuff going on in Arlington these days."
12458,B,"Yes,"
12459,B,not all good stuff.
12460,A,Are you involved in any of that?
12461,B,No.
12462,A,No.
12463,B,"No,"
12464,B,"I'm not, not personally."
12465,A,"Well, uh, what benefits do,"
12466,A,"now, do you work?"
12467,B,I'm going to school right now.
12468,A,"Oh, you are?"
12469,B,I can tell you about my last job or whatever you want to talk about that or my husband's or what I think.
12470,A,Okay.
12471,A,Yeah.
12472,B,"I've got a lot of,"
12473,A,"Because I, I work for myself"
12474,B,Uh-huh.
12475,A,"and so, uh, there's a lot that I, that I guess I do miss, uh, a lot of benefits from working for a big corporation."
12476,A,"I miss, uh insurance and uh, the steady paychecks that come."
12477,B,Yes.
12478,B,Right.
12479,B,Yes.
12480,A,"But, uh,"
12481,B,"Yes,"
12482,B,"I've been in my own business, Mary Kay, in fact,"
12483,B,I'm selling in out now to go to school full time
12484,B,"and I enjoyed the freedom of having that, you know,"
12485,A,"Oh, is that right?"
12486,B,go to work when I wanted to or not
12487,A,Uh-huh.
12488,B,"but, you know, the benefits weren't there."
12489,A,Yeah.
12490,B,"So,"
12491,A,"I, uh, I own part of a roofing company."
12492,B,"Oh, do you?"
12493,A,"In the, in the Dallas, Fort Worth area."
12494,B,Uh-huh.
12495,A,"And, uh, you know, unfortunately we, we were part of a, of a bigger, bigger company"
12496,B,Uh-huh.
12497,A,"and they, uh, you know, we, we had all the benefits there"
12498,A,"and, and I do miss that. You know,"
12499,B,Yeah.
12500,A,"but, uh, on the other hand, I, I, uh, I enjoy having the, the time that I have with my family and being able to, you know, work when I want"
12501,B,Right.
12502,B,"Yeah,"
12503,B,uh-huh.
12504,A,"and,"
12505,B,"I think today the thing that I, uh, would appreciate the most,"
12506,B,"uh, because my husband gets, his medical through his company,"
12507,B,but we have to pay for mine
12508,A,Uh-huh.
12509,B,"and we're the only one, I'm the only one that's being insured"
12510,B,"and and we pay the same amount that someone over there that has four children has, I mean,"
12511,A,"Oh, is that right?"
12512,B,"so it's kind of,"
12513,A,Yeah.
12514,B,"And I would,"
12515,B,"I really,"
12516,B,and the way medical expenses are I think that's probably one of the biggest benefits to you need to have.
12517,A,"It's,"
12518,A,Yeah.
12519,A,"It, it,"
12520,A,"Yeah,"
12521,A,"I'll tell you what,"
12522,A,"that is the single most uh, benefit that I, that I enjoyed, and I do miss"
12523,B,Right.
12524,A,"because I looked into picking up some, uh, medical insurance for my, just for my family, you know, just,"
12525,A,and it is unbelievable how much you have to pay for it.
12526,B,It's out of sight.
12527,B,"Right,"
12528,B,it's out of sight.
12529,A,"And, uh, yeah,"
12530,B,"Even at a group rate, I couldn't believe how much is our,"
12531,A,"Oh, yeah"
12532,A,even at a group rate.
12533,A,"Uh, it's, it's unbelievable"
12534,A,"and, uh, the amount that you have to pay for, you know, for kids"
12535,A,"and, and if you want to add dental to it, I mean, that's  that eats even more."
12536,B,"Right,"
12537,B,it goes up.
12538,B,Right.
12539,A,"So, yeah,"
12540,A,"I guess what, the other benefits that, uh, that I, uh, that I miss, I guess is, uh, you know, some of the bonuses and stuff that that goes on with just being involved with a big company, you know"
12541,B,Uh-huh.
12542,A,"and course, these days, you can't count on that because"
12543,B,Right.
12544,A,"uh, you know, I feel bad for the people that are involved in that, uh, G M deal there in in Arlington"
12545,B,Right.
12546,A,"and I'm sure it will be, you know, quite a few people are affected by that"
12547,A,"so,"
12548,B,"Right,"
12549,B,"it's going to hurt the city,"
12550,B,"although, uh, I will personally tell you, I used to work at a bank,"
12551,B,"and I would see the G M people come in when they were, they would shut down to retool."
12552,A,Uh-huh.
12553,B,They were paid that whole time
12554,B,"and I don't know, if you're aware of this"
12555,A,"Oh, really?"
12556,B,"Yes,"
12557,B,"they come in there,"
12558,B,"just, they go off fishing and stuff and come in and, every Friday, and go to the safety deposit box,"
12559,B,"and I'm sitting there making a hundred dollars a week, you know"
12560,B,"and, And they had all these"
12561,A,Is that right?
12562,B,"I, I really believe they have done this to themselves, in a way, because of the unions being so stocked."
12563,A,"The union,"
12564,A,yeah.
12565,B,"And right now, anybody's that's laid off from G M will have a full year's paycheck."
12566,B,I just read this in the paper the other day.
12567,A,Is that right?
12568,B,"Plus probably an additional six months through the, the worker's stuff that they have at, at, uh, through the company"
12569,B,"so I'm you know, I'm sorry it's happening because it's going to hurt,"
12570,A,Yeah.
12571,B,"but I don't feel as sorry for them,"
12572,A,Well
12573,B,"If my husband  were laid off tomorrow, we'd get one more check"
12574,A,"really the,"
12575,B,and that would be it.
12576,A,"Yeah,"
12577,A,"really the ones it's going to hurt is, is actually the, the businesses around in that area."
12578,B,Yes.
12579,B,"Oh, yeah,"
12580,B,that's already hurting.
12581,A,"You know, that's the ones that that that's going to hurt because they depend on that, uh,"
12582,B,"But I think there's a case, where benefits have gotten,"
12583,B,they voted them in
12584,B,"and they got so good, I mean, like two dollars for a prescription no deductible on the medical, all these things, you know"
12585,A,"Oh, yeah."
12586,A,Yeah.
12587,B,and it made the prices of cars go up
12588,B,"and and, you know, the,"
12589,A,Uh-huh.
12590,B,"I, we, I believe in unions,"
12591,B,but they went too far.
12592,A,"Well, I'll tell you, I I've had my fill of unions"
12593,B,"I mean, I can't make eighteen dollars an hour."
12594,A,"I,"
12595,B,"I mean, I know someone out here that makes eighteen dollars an hour."
12596,A,"Oh, yeah."
12597,A,Okay.
12598,A,"Uh, do you want to go ahead"
12599,A,"or,"
12600,B,"Oh, sure."
12601,B,"Uh, well I, uh, went to school at Madison for two years"
12602,B,"and they are really big on women's rights. And, and equal treatment."
12603,A,Uh-huh.
12604,A,Uh-huh.
12605,B,"And so I, I've seen a lot of like rallies and things like that."
12606,B,"But, uh, I'm not that liberated."
12607,B,"I mean my mom is kind of old-fashioned, you know."
12608,A,Uh-huh.
12609,B,"So, I, you know, you pick up some traits from her and stuff."
12610,B,"But, uh, I think it's, I think it's interesting and better for women to see that there's more, more of them doing men's fields."
12611,B,I like to see that.
12612,B,"And  I don't like to see women, you know, like waiting on men hand and foot"
12613,A,Right.
12614,B,"but, you know, I, I believe in like sharing and doing things for each other."
12615,A,I do too.
12616,A,I like the idea.
12617,A,"I see a lot more, uh,"
12618,A,"my children, I have five children"
12619,A,and they're all married.
12620,B,Uh-huh.
12621,A,"And, uh, I love seeing the men help the women so much."
12622,B,Right.
12623,A,"And they both cooperate together on,"
12624,A,I think it's great.
12625,B,"Oh, me too"
12626,B,I hope that happens to me someday.
12627,B,"I mean, I, I don't mind  doing stuff."
12628,B,"Uh, I have a boyfriend"
12629,B,and I got to make him dinner and stuff
12630,B,"but, you know, I, he'll help me do the dishes."
12631,B,"I don't want to, you know expect to help to clean up then after"
12632,A,Right.
12633,B,Yeah.
12634,A,That's right.
12635,A,That's right.
12636,B,Yeah.
12637,B,So
12638,A,I've always taught my men that.
12639,A,They better clean up with their women and help them.
12640,A,"If they did that, you know."
12641,B,Right.
12642,A,"And they're, they're good about it."
12643,A,But it is neat to see them all work together.
12644,A,"And  a big thing that I see. All that, most of the, most of the women getting married now, uh, go back, have gone back to, you know,"
12645,B,Uh-huh.
12646,A,"they, they stay at work or go back to work. Or whatever."
12647,B,Right.
12648,A,And they're well educated.
12649,B,Uh-huh.
12650,A,And I believe we'll see a lot more C E O in companies.
12651,A,They're having a fit about how little there are.
12652,B,Oh.
12653,A,"And I think we'll see a lot more. Don't you? Of upper management? Then we do now, even."
12654,B,"Oh, yeah."
12655,B,Uh-huh.
12656,B,Right.
12657,A,I think it'll escalate.
12658,B,Yeah.
12659,A,"And, uh, and I think black women now"
12660,A,in fact I work at a high school.
12661,B,Uh-huh.
12662,A,And my boss is a black woman and has only been there a couple of months and already promoted
12663,A,and she's very sharp.
12664,A,And I think that
12665,A,"and the ethnic thing will be, you know, is a good thing now."
12666,B,"Oh, me too."
12667,A,They're moving them up
12668,A,and they're sharp
12669,A,"and they,"
12670,A,"so you're going to see a lot, a lot more of that in leadership I believe."
12671,B,Yeah.
12672,B,I like to see that.
12673,B,"I think it's, uh, really neat to see and all that educated minority, uh, person  who really knows what they're talking about."
12674,A,Uh-huh.  Right.
12675,B,"And it's just too bad that some people, you know, still look down on them just because of their color. You know."
12676,A,Right.
12677,A,That's
12678,B,Especially black women.
12679,A,Yes.
12680,B,So.
12681,A,Yeah.
12682,A,But they know what they're doing.
12683,B,Right.
12684,A,But I'm not big on subserving as far as  to the men at all.
12685,B,Uh-huh.
12686,B,Right.
12687,A,"But I never have gone along with that, you know. Even far back."
12688,A,"But I was brought up pretty good in a home that,"
12689,A,years ago my mother was that way.
12690,A,The same.
12691,A,"I,"
12692,A,my
12693,A,"you know,"
12694,A,some people say oh the boys shouldn't have to do those jobs. The inside jobs.
12695,A,"But we never were taught,"
12696,A,they had to do as much as we did.
12697,A,So that was good.
12698,B,"Right,"
12699,B,same here.
12700,B,Yeah.
12701,A,"So that's, I think that's good. To keep the equal as far as, as, uh, not, uh, necessarily by sex type thing.  You know."
12702,B,Right.
12703,B,Same here.
12704,A,You should be able to accomplish as much.
12705,A,"And I think the, uh, attitude is a lot better towards the parents raising the younger ones now."
12706,B,Uh-huh.
12707,A,"You see a lot more of the mothers and all saying to the young girls, you know  you can do it."
12708,B,Yeah.
12709,A,"If he  can do it, you can do it type thing."
12710,B,Yeah.
12711,B,Exactly.
12712,B,"I, I see more men, uh, like participating in like the family things with children. Like, you know, helping to take care of them more. And and, uh, uh, doing the jobs equally, you know,"
12713,A,Uh-huh.
12714,A,Uh-huh.
12715,A,Right.
12716,A,What about politics on it?
12717,B,Oh.
12718,A,Do you think the political scene?
12719,B,I'm not that big on politics.
12720,B,I'm not that educated on it.
12721,A,Yeah.
12722,B,"I'm,"
12723,A,I'm real I'm kind of disgusted this year because I don't see many women into the political scene
12724,A,"and I really think we should have more political leaders in the women than we do up for, and even for President and Vice President this year,"
12725,B,"Oh, yeah."
12726,B,I agree with that.
12727,A,there's nobody again.
12728,A,"I think they're all scared out after after, uh,"
12729,A,"oh, what was the lady's name that ran a couple of,"
12730,A,I forget her name now.
12731,B,"Oh, I don't know"
12732,A,But you know who I mean?
12733,B,"Yeah,"
12734,B,I know who you're talking about.
12735,A,Yeah.
12736,A,She took such a rough go of it.
12737,A,"And they their tax deal and,"
12738,B,Yeah.
12739,B,At least she was strong to like try it and you know.
12740,A,Right.
12741,A,Right.
12742,B,So that's good.
12743,A,But I wish they would get some more on that.
12744,A,I really was disappointed this year when I see any of the candidates talking that they're talking about.
12745,A,"Uh, they, I didn't see any of the women in there."
12746,B,Uh-huh.
12747,A,And that disappoints me.
12748,B,Oh.
12749,A,"And right now I don't think we have too many. Uh, in the forefront."
12750,A,Schroeder's about the biggest one in Washington.
12751,B,Uh-huh.
12752,A,Congress woman.
12753,A,"And, uh, other uh,"
12754,A,"we really,"
12755,A,Okay.
12756,A,"I think the first thing they said,"
12757,A,I have written this down
12758,A,"so it would,"
12759,A,is it do you think it's possible to have honesty in government or an honest government?
12760,B,Okay.
12761,B,"You're asking what my opinion about,  whether it's possible to have honesty in government."
12762,A,Yeah.
12763,B,"Well, I suspect that it is possible."
12764,B,"Uh, I think it probably is more likely if you have a small government unit where everybody knows everybody."
12765,A,Right.
12766,A,That's a good point.
12767,B,"But, uh, other than that I think maybe it just depends on how you define honesty."
12768,A,"That's an you know, that's interesting."
12769,A,I had read something one time
12770,A,"and it was just applying to governments in general,"
12771,A,it was written many years ago.
12772,A,It said that it's impossible to have a completely honest system of government because people who choose government for their positions are power seekers.
12773,A,And I thought that was interesting.
12774,A,It wasn't just talking about our government.
12775,A,"It was just government in general. From times past, you know on"
12776,B,Uh-huh.
12777,A,"and,"
12778,B,So they're saying that government officials would tend to be power seekers.
12779,A,Right.
12780,A,And that would be a next question to ask.
12781,A,"or are they in there for their own gains,"
12782,A,"and personally I feel it's probably, there's probably some of each."
12783,B,Right.
12784,B,Yeah.
12785,B,"But I think maybe a lot of them, um,"
12786,B,"say the more honest ones who are still looking out for themselves, it may be more matter of not what can I steal while in an office but how many friends can I make while,  I'm in office."
12787,A,Uh-huh.
12788,A,Yeah.
12789,B,"And, you know, how good a name can I make for myself and so forth."
12790,B,So I guess it would be like anything else.
12791,A,Yeah.
12792,B,"The president of General Motors probably has the same,"
12793,A,"Oh, yeah."
12794,A,"And they talked, uh,"
12795,A,"the other, let's see."
12796,A,"Third question was how serving for their own gains do you think goes on,"
12797,A,"then they,"
12798,A,that's hard to
12799,A,"I'm sure there's a lot. But I agree with you, there's a lot in business."
12800,A,"I think that's just, I think that's very normal,  that we should not I think,"
12801,B,"I think  I think a little more honesty in the campaigns would be,  more to the point."
12802,A,I think we put too much on politicians.
12803,A,"We expect them to only be there to serve us, you know."
12804,A,Yeah.
12805,B,"If you knew what you were getting when you voted, uh,"
12806,A,"That's a problem, isn't it?"
12807,B,Yeah.
12808,A,It's interesting
12809,A,"because I'm taking a Texas government class right now,"
12810,A,and one of the things
12811,A,it's so easy to blame them to
12812,A,a lot of times I think it's our own fault.
12813,A,They lie to us because we don't want to hear the truth.
12814,B,"Yeah,"
12815,B,"they say you,  get the government you deserve."
12816,A,"And it,"
12817,A,"If they tell us the truth, we don't elect them and, Especially with all this stuff coming up here lately about people's past,"
12818,B,Uh-huh
12819,A,and I don't know why anybody would want to get under that scrutiny anymore.
12820,B,It's hard to imagine.
12821,A,"Because it's, I think it's gotten just well,"
12822,A,we're not talking about issues we're talking about somebody's personal life
12823,A,"and, and we're getting away from what we ought to be looking at"
12824,B,"Yeah,"
12825,B,"and it almost seems like in order to avoid, uh, some of the scandal, you would have to have the kind of wife that you would only find, on, say in the Bobsy twins or,  something like that"
12826,A,Right.
12827,A,"You know, I also think it would be funny if we could know everything about the people that were in there and throw them out."
12828,A,I don't think there would be too many left
12829,B,So you're taking a government course?
12830,A,Uh-huh.
12831,B,At what?
12832,B,The university?
12833,A,"Uh, at, uh, it's T C J C."
12834,A,Tarrant County Junior College.
12835,B,Oh.
12836,A,Yeah.
12837,B,Okay.
12838,A,"And it's really, it's really enjoyable."
12839,A,I like it.
12840,A,"And then they also, you know, ask can we eliminate, do you think we could make laws to eliminate all corruption,"
12841,A,and I don't think we can make laws to eliminate anything anyplace totally.
12842,B,You can make laws against corruption
12843,A,"Yeah,"
12844,A,"but that,  doesn't mean,"
12845,B,"But that doesn't eliminate it, does it?   Milwaukee, did it?"
12846,A,I don't think making laws will stop it.
12847,A,I mean I don't know how many laws you would have to have.
12848,A,"I mean,"
12849,A,"No,"
12850,A,"sure didn't,  did it?"
12851,A,"So no,"
12852,A,I think you can legislate
12853,A,"but I think there's no way that you eliminate it all by legislating,"
12854,A,"and we would end up with so many more laws that, you know,"
12855,A,"I mean I just think that's human nature that you're going to have corruption in government, in business, personal life, I mean, you know."
12856,B,"Actually, I think other countries may have it worse, uh,"
12857,B,"the Japanese government is always having a, some kind of a scandal."
12858,A,Right.
12859,B,Usually involving the Prime Minister or people very close to him.
12860,A,Yeah.
12861,B,"So, uh,"
12862,A,"Yeah,"
12863,A,I still believe I get very fed up with government sometimes
12864,A,"but when I think about where I'd want to go, you know, this is still the best"
12865,A,"or I can,"
12866,B,"Yeah,"
12867,B,I've been around to a few other countries
12868,B,"and I, uh, I, I have not found one yet that I would rather live in."
12869,B,"I think, uh,"
12870,A,Yeah.
12871,A,"Yeah,"
12872,A,at its worst I think we've got the best.
12873,A,"Okay, um, Chuck, do you have any pets there at your home?"
12874,B,"Yeah, I do."
12875,A,And what kind do you have?
12876,B,I've got a male Siamese about a year old here.
12877,B,"I live alone in an apartment, and, uh,  except for the cat."
12878,A,Uh-huh.
12879,A,Uh-huh
12880,B,How about you?
12881,A,"Well, we have a cat, um,"
12882,A,"he's probably, oh, a good two years old, big, old, fat and sassy tabby."
12883,B,Uh-huh.
12884,A,"Oh. Uh, how's the disposition of your Siamese cat?"
12885,B,"Well, it's, uh, you know they're just, uh, aggressive by nature"
12886,A,Uh-huh.
12887,B,"and, uh, he's been neutered and declawed,"
12888,B,"so  he's an indoor cat,"
12889,A,Uh-huh.
12890,B,"so, uh, that kind of calms him down for the most part."
12891,B,How about yours?
12892,A,"Well, yeah,"
12893,A,"he's, uh, he has been really aggressive, uh, especially towards my little girl, for some reason."
12894,B,Huh.
12895,A,"He's, uh, been so mean to her"
12896,B,"And, and you say you've had him how long?"
12897,A,We've had him for about two years
12898,B,Two years.
12899,A,"and he was so mean to her, um, right after we first got him."
12900,A,"So we had him neutered, and, and declawed,"
12901,A,and now he bites her.
12902,A,"He can't scratch her any more,"
12903,B,Huh.
12904,A,he bites her.
12905,B,Does he bite her enough to draw blood?
12906,A,"Yeah,"
12907,A,"yeah,"
12908,A,"he has a couple of times,"
12909,A,so.
12910,B,Uh-huh.
12911,A,But he's a very possessive cat.
12912,A,"He, he loves my son,"
12913,A,"it's his cat,"
12914,A,and he's the only one that allows him to touch him or pet him or love him
12915,B,Yeah.
12916,A,"and he's so funny,"
12917,A,he just follows my son around just like a dog.
12918,B,Huh.
12919,A,He won't even let my son shower.
12920,B,Yeah.
12921,A,He meows and wants to get in the bathroom
12922,A,"and, while he showers, it's so hilarious."
12923,A,So he's quite a animal
12924,B,"Yeah,"
12925,B,"boy,"
12926,B,I guess.
12927,B,Well as long as he doesn't get too aggressive. I guess with the daughter he's all right.
12928,A,Yeah.
12929,B,You wouldn't want him to carry her off or something.
12930,A,"Yeah,"
12931,A,"well, we, we did, uh, actually take him to the pound a couple of times, you know because we just couldn't have him being so aggressive towards the girl,"
12932,B,Uh-huh.
12933,B,Sure.
12934,A,"but, uh, he seems to have mellowed out a little bit,"
12935,A,and we do keep our daughter away from him.
12936,A,So.
12937,B,"Yeah,"
12938,B,yeah.
12939,A,"Were it not for my son, the cat would not be in this house"
12940,B,Is that the only pet that you have?
12941,A,"It is,"
12942,A,uh-huh.
12943,A,"We, we tried a dog about four years ago, and we ended up with, uh, oh, malamute and some other kind of mix."
12944,A,"Anyway it was, it ended up being just a huge, huge dog that ate us out of house and home."
12945,A,"So, we gave him up and tried."
12946,B,"Well, do you live, you, you in a house, or a place where you, uh,"
12947,A,"Yes,"
12948,A,"uh-huh,"
12949,A,"we're in a house,"
12950,A,"but we're in a subdivision where we really can't allow the dog,"
12951,B,I see.
12952,A,"we couldn't allow him to run free,"
12953,A,"so, he was just chained up all the time,"
12954,A,"and it was, it was  unfortunate."
12955,B,Sure.
12956,A,So have you tried any other pets?
12957,B,"No,"
12958,B,no.
12959,B,"I, I live alone in an apartment,"
12960,B,"and, uh, it's, it's not that big that, uh"
12961,A,Oh
12962,B,although I've heard rabbits are pretty good
12963,A,Oh.
12964,B,"you know, I saw something on C N N or on cable here a while ago that showed some people that had rabbits in apartments and in houses,"
12965,A,Uh-huh.
12966,A,"Oh, my word."
12967,B,"and they apparently, uh,"
12968,B,especially when they're young when they bring them in
12969,A,"Oh, my word."
12970,B,"uh,"
12971,A,"And do they, they just paper train it or something?"
12972,B,I guess.
12973,B,"I guess,"
12974,B,"yeah,"
12975,B,"and I would imagine that they don't have many more than one to start with, either."
12976,A,Yeah.
12977,A,"Well, rabbits are darling."
12978,A,That would be fun if you could get them trained.
12979,A,Otherwise they're pretty smelly
12980,B,"Yep,"
12981,B,that's right.
12982,A,Oh.
12983,B,"Did you see the, the C N N, the, the dog show, uh,"
12984,A,"Huh-uh,"
12985,A,"we don't have C, we don't have cable."
12986,B,I see.
12987,B,"Well they have, uh, uh, a they call it the Westminster Dog Show, uh,"
12988,B,"I think it's in New York City at the, at the Gardens"
12989,B,there once a year live
12990,A,Oh.
12991,B,"and they had that on last week,"
12992,B,"and that's really kind of something  to watch, uh,"
12993,A,Oh.
12994,B,"it's on, I think, two or three nights for maybe an hour or two"
12995,A,Is that right?
12996,B,and some of the weirdest animals you ever want to see in there.
12997,A,Oh
12998,B,"Some of them are really beautiful, too."
12999,A,Uh-huh.
13000,B,So.
13001,A,"Well, I'd be, interesting to watch."
13002,B,So you live in Utah do you?
13003,A,"Yes,"
13004,A,uh-huh.
13005,A,Elton.
13006,B,Goodness.
13007,A,"We live out here by, it's by Ogden."
13008,A,"It's north of Salt Lake City, Utah"
13009,B,Uh-huh.
13010,A,and we really love it out here.
13011,A,"It's, uh, kind of country."
13012,A,"We're, we're only about ten minutes from Ogden."
13013,B,Uh-huh.
13014,A,"So, we're kind of country but not too."
13015,B,"Well do you all work for T I, or for,"
13016,A,"No,"
13017,A,huh-uh.
13018,A,Do you?
13019,B,"Yeah,"
13020,B,"yeah,"
13021,B,yeah.
13022,A,"Oh, well, see, I'm getting so many calls to Texas."
13023,B,"This is the very first one I've, I've talked to."
13024,A,"Oh, well, great."
13025,A,"Yeah,"
13026,A,I've been doing it for about two weeks
13027,A,"and, uh, no my, No my,"
13028,B,Uh-huh.
13029,A,So how do you get most of your current event information?
13030,B,"Well, , see I'm going to school right now,"
13031,B,"and, uh,  while I'm working, I don't get a, I don't get a chance to read the paper a lot,"
13032,A,Uh-huh.
13033,B,"and I don't watch T V as much really either, because, uh, my free time is kind of,"
13034,B,"and I do, like to do other stuff with it."
13035,A,Right.
13036,B,"While I'm at work sometimes, I, on the computer network um, I read the news sometimes,"
13037,A,Uh-huh.
13038,B,and that's kind of helpful.
13039,A,"I would imagine going to college, though, your professors and different things,"
13040,A,you keep up on what's going on.
13041,B,"That's true,"
13042,B,"I mean, my roommates and stuff, you know people around me talk about it."
13043,A,Yeah.
13044,B,"And the people I work with are pretty, you know, up, up-to-date on that kind of stuff,"
13045,B,so.
