,section,text
12028,RESULTS,A significant treatment condition by responder status interaction for glucocorticoid sensitivity indicated that responders to hydrocortisone augmentation had the highest pre-treatment glucocorticoid sensitivity ( lowest lysozyme IC50-DEX ) that diminished over the course of treatment .
12029,RESULTS,There was a significant association between decline in glucocorticoid responsiveness and improvement in PTSD symptoms among hydrocortisone recipients .
12030,CONCLUSIONS,The results of this pilot study suggest that hydrocortisone augmentation of PE may result in greater retention in treatment and thereby promote PTSD symptom improvement .
12031,CONCLUSIONS,"Further , the results suggest that particularly elevated glucocorticoid responsiveness at pre-treatment may identify veterans likely to respond to PE combined with an intervention that targets glucocorticoid sensitivity ."
12032,CONCLUSIONS,Confirmation of these findings will suggest that pharmacologic interventions that target PTSD-associated glucocorticoid dysregulation may be particularly helpful in promoting a positive clinical response to PTSD psychotherapy .
12033,BACKGROUND,Hypertension develops early in patients with autosomal dominant polycystic kidney disease ( ADPKD ) and is associated with disease progression .
12034,BACKGROUND,The renin-angiotensin-aldosterone system ( RAAS ) is implicated in the pathogenesis of hypertension in patients with ADPKD .
12035,BACKGROUND,Dual blockade of the RAAS may circumvent compensatory mechanisms that limit the efficacy of monotherapy with an angiotensin-converting-enzyme ( ACE ) inhibitor or angiotensin II-receptor blocker ( ARB ) .
12036,METHODS,"In this double-blind , placebo-controlled trial , we randomly assigned 486 patients , 18 to 64 years of age , with ADPKD ( estimated glomerular filtration rate [ GFR ] , 25 to 60 ml per minute per 1.73 m ( 2 ) of body-surface area ) to receive an ACE inhibitor ( lisinopril ) and placebo or lisinopril and an ARB ( telmisartan ) , with the doses adjusted to achieve a blood pressure of 110/70 to 130/80 mm Hg ."
12037,METHODS,"The composite primary outcome was the time to death , end-stage renal disease , or a 50 % reduction from the baseline estimated GFR ."
12038,METHODS,"Secondary outcomes included the rates of change in urinary aldosterone and albumin excretion , frequency of hospitalizations for any cause and for cardiovascular causes , incidence of pain , frequency of ADPKD-related symptoms , quality of life , and adverse study-medication effects ."
12039,METHODS,Patients were followed for 5 to 8 years .
12040,RESULTS,"There was no significant difference between the study groups in the incidence of the composite primary outcome ( hazard ratio with lisinopril-telmisartan , 1.08 ; 95 % confidence interval , 0.82 to 1.42 ) ."
12041,RESULTS,The two treatments controlled blood pressure and lowered urinary aldosterone excretion similarly .
12042,RESULTS,"The rates of decline in the estimated GFR , urinary albumin excretion , and other secondary outcomes and adverse events , including hyperkalemia and acute kidney injury , were also similar in the two groups ."
12043,CONCLUSIONS,Monotherapy with an ACE inhibitor was associated with blood-pressure control in most patients with ADPKD and stage 3 chronic kidney disease .
12044,CONCLUSIONS,The addition of an ARB did not alter the decline in the estimated GFR .
12045,CONCLUSIONS,"( Funded by the National Institute of Diabetes and Digestive and Kidney Diseases and others ; HALT-PKD [ Study B ] ClinicalTrials.gov number , NCT01885559 . )"
12046,OBJECTIVE,Surgical extraction of lower third molars is followed by mild or severe postoperative pain which peaks at maximal intensity in the first 12 hours and has a significant impact on a patient 's postoperative quality of life .
12047,OBJECTIVE,The use of long-acting local anaesthetics is a promising strategy to improve postoperative analgesia .
12048,OBJECTIVE,"The aim of the present study was to investigate analgesic parameters and patient satisfaction after using 0.5 % levobupivacaine ( Lbup ) , 0.5 % bupivacaine ( Bup ) and 2 % lidocaine with epinephrine 1:80,000 ( Lid + Epi ) for an inferior alveolar nerve block following lower third molar surgery ."
12049,METHODS,"A total of 102 patients ( ASA I ) were divided into three groups , each of which received either 3 mL of Lbup , Bup or Lid + Epi ."
12050,METHODS,The intensity of postoperative analgesia was measured using a verbal rating scale ( VRS ) .
12051,METHODS,The total amounts of rescue analgesics were recorded on the first and during seven postoperative days .
12052,METHODS,Patients satisfaction was noted using a modified verbal scales .
12053,RESULTS,A significantly higher level of postoperative pain was recorded in Lid + Epi group compared to Bup and Lbup groups .
12054,RESULTS,"No significant differences were seen between Bup and Lbup , but a significant reduction in the need for rescue analgesics was seen postoperatively in both Lbup and Bup ( 50 % ) in comparison with Lid + Epi ( 80 % ) in the first 24 hours ."
12055,RESULTS,The same significant trend in rescue analgesic consumption was recorded for seven postoperative days .
12056,RESULTS,Patients ' overall satisfaction was significantly lower for Lid + Epi ( 10 % ) than for Lbup ( 56 % ) and Bup ( 52 % ) .
12057,CONCLUSIONS,The use of a new and long-acting local anaesthetic 0.5 % levobupivacaine is clinically relevant and effective for an inferior alveolar nerve block and postoperative pain control after third molar surgery .
12058,CONCLUSIONS,In our study Lbup and Bup controled postoperative pain more efficiently after lower third molar surgery compared to Lid + Epi .
12059,BACKGROUND,Awake fiberoptic intubation is the gold standard for management of predicted difficult intubation .
12060,BACKGROUND,The purpose of this study was to test whether Glide Scope video laryngoscopy ( GVL ) will provide significant advantages over fiberoptic bronchoscopy ( FOB ) for awake intubation in morbidly obese patients with predicted difficult intubation .
12061,BACKGROUND,We therefore tested the hypothesis that intubation using GVL is faster than intubation with FOB .
12062,METHODS,64 morbidly obese patients with predicted difficult intubation undergoing laparoscopic bariatric surgery were enrolled in this study .
12063,METHODS,Patients were randomly assigned to receive awake oral intubation by either GVL or FOB .
12064,METHODS,"After airway topical anesthesia and sedation using target controlled remifentanil infusion to a Ramsay sedation scale of 3 , wee compared the two devices for time to intubate , successful intubation on first attempt , glottic view using Cormack and Lehane score system , response of the patient to scope , patients satisfaction and incidence of postoperative sore throat and hoarseness ."
12065,RESULTS,Intubation time was 84 + / - 37.9 seconds and 73.6 + / - 31.1 seconds for FOB and GVL respectively .
12066,RESULTS,75 % of patients were successfully intubated on the first attempt with FOB compared to 80.6 % with GVL .
12067,RESULTS,Grade I/II glottic view was reported with GVL in 96.7 % of patients compared to 100 % with FOB .
12068,RESULTS,The highest target concentration of remifentanil to maintain patients sedated during intubation was 2.4 + / - 0.6 ng/ml and 2.2 + / - 0.8 ng/ml in FOB and GVL respectively .
12069,RESULTS,"No significant differences regarding maximum patient response to intubation , adverse effects or patient satisfaction were recorded between groups ."
12070,CONCLUSIONS,GVL can be used as a useful alternative to FOB in morbidly obese patients with predicted difficult intubation .
12071,BACKGROUND,"Bevacizumab , a recombinant humanized monoclonal antibody against vascular endothelial growth factor , was approved by the US Food and Drug Administration for the treatment of advanced non-small-cell lung cancer ( NSCLC ) in combination with carboplatin and paclitaxel ."
12072,BACKGROUND,"ARIES ( Avastin Regimens : Investigation of Effectiveness and Safety ) , a prospective observational cohort study , evaluated outcomes in a large , community-based population of patients with first-line NSCLC ."
12073,METHODS,"From 2006 to 2009 , ARIES enrolled patients with locally advanced or metastatic NSCLC who were eligible for bevacizumab , excluding those with predominantly squamous histology ."
12074,METHODS,Patients were required to provide informed consent and to have initiated bevacizumab with chemotherapy within 4 months before enrollment .
12075,METHODS,There were no protocol-defined treatments or assessments .
12076,METHODS,"The dosing of bevacizumab and chemotherapy , and the choice of chemotherapy regimen , was at the discretion of the treating physician ."
12077,RESULTS,ARIES enrolled 1967 patients with first-line NSCLC .
12078,RESULTS,"At study closure , median follow-up was 12.5 months ( range , 0.2-65 .5 ) ."
12079,RESULTS,"Median age was 65 years ( range , 31-93 ) , and 252 patients ( 12.8 % ) identified as never smokers ."
12080,RESULTS,"Median progression-free survival was 6.6 months ( 95 % confidence interval , 6.3-6 .9 ) , and median overall survival was 13.0 months ( 95 % confidence interval , 12.2-13 .8 ) with first-line bevacizumab plus chemotherapy ."
12081,RESULTS,Incidences of bevacizumab-associated adverse events ( 19.7 % overall ) were consistent with those in randomized controlled trials of bevacizumab in NSCLC .
12082,CONCLUSIONS,Results from ARIES demonstrate similar outcomes to randomized controlled trials of bevacizumab when added to standard chemotherapy in a real-world patient population with advanced NSCLC .
12083,OBJECTIVE,"To evaluate effects of maropitant , acepromazine , and electroacupuncture on morphine-related signs of nausea and vomiting in dogs and assess sedative effects of the treatments ."
12084,METHODS,Randomized controlled clinical trial .
12085,METHODS,222 dogs .
12086,METHODS,"Dogs received 1 of 6 treatments : injection of saline ( 0.9 % NaCl ) solution , maropitant citrate , or acepromazine maleate or electroacupuncture treatment at 1 acupoint , 5 acupoints , or a sham acupoint ."
12087,METHODS,Morphine was administered after 20 minutes of electroacupuncture treatment or 20 minutes after injectable treatment .
12088,METHODS,Vomiting and retching events and signs of nausea and sedation were recorded .
12089,RESULTS,Incidence of vomiting and retching was significantly lower in the maropitant ( 14/37 [ 37.8 % ] ) group than in the saline solution ( 28/37 [ 75.7 % ] ) and sham-acupoint electroacupuncture ( 32/37 [ 86.5 % ] ) groups .
12090,RESULTS,"The number of vomiting and retching events in the maropitant ( 21 ) , acepromazine ( 38 ) , 1-acupoint ( 35 ) , and 5-acupoint ( 34 ) groups was significantly lower than in the saline solution ( 88 ) and sham-acupoint electroacupuncture ( 109 ) groups ."
12091,RESULTS,Incidence of signs of nausea was significantly lower in the acepromazine group ( 3/37 [ 8.1 % ] ) than in the sham-acupoint group ( 15/37 [ 40.5 % ] ) .
12092,RESULTS,"Mean nausea scores for the saline solution , maropitant , and sham-acupoint electroacupuncture groups increased significantly after morphine administration , whereas those for the acepromazine , 1-acupoint electroacupuncture , and 5-acupoint electroacupuncture groups did not ."
12093,RESULTS,"Mean sedation scores after morphine administration were significantly higher in dogs that received acepromazine than in dogs that received saline solution , maropitant , and sham-acupoint electroacupuncture treatment ."
12094,CONCLUSIONS,"Maropitant treatment was associated with a lower incidence of vomiting and retching , compared with control treatments , and acepromazine and electroacupuncture appeared to prevent an increase in severity of nausea following morphine administration in dogs ."
12095,BACKGROUND,Over-diagnosis of malaria among African children results in mismanagement of non-malaria infections .
12096,BACKGROUND,Limited laboratory capacity makes it difficult to implement policies that recommend pre-treatment confirmation of infections so a new approach with a package for on-the-spot management of fevers was evaluated .
12097,METHODS,"Febrile children presenting to outpatient clinic were randomized to receive either a ` test-treat ' package ( history with clinical examination ; point-of-care tests ; choice of artesunate-amodiaquine , co-amoxiclav and/or paracetamol ) or routine outpatient care in a secondary health care facility in Kumasi , Ghana ."
12098,METHODS,"A diagnosis of malaria , bacterial , viral or mixed malarial and bacterial infections was made using pre-defined criteria ."
12099,METHODS,Outcome was resolution of all symptoms including fever on day 7 .
12100,RESULTS,"The median age of the patients was 37.5 months ( IQR : 19 to 66 months ) , with 56.7 % being males ."
12101,RESULTS,"Compared to routine care the test-treat package resulted in less diagnoses of malaria , ( 37.2 % vs 46.2 % , p = 0.190 ) and mixed malaria and bacterial infections ( 14.0 % vs 53.8 % , p < 0.001 ) but more diagnoses of viral ( 33.1 % vs 0.0 % , p < 0.001 ) and bacterial infections only ( 15.7 % vs 0.0 % , p < 0.001 ) ."
12102,RESULTS,"Less anti-malarials ( 51.2 % vs 100.0 % , p < 0.001 ) and antibiotics ( 29.7 % vs 48.7 % , p < 0.001 ) , were prescribed in the test-treat group on completion of study , more test-treat package patients were clinically well ( 99.2 % vs 80.7 % , p < 0.001 ) and febrile ( 0.8 % vs 10.1 % , p = 0.001 ) and less were admitted for inpatient care ( 0.0 % vs 8.4 % p = 0.001 ) compared to the routine care group ."
12103,CONCLUSIONS,Test-treat package improves the effectiveness of outpatient diagnosis and treatment of children with fever and reduces inappropriate prescribing of anti-malarials and antibiotics .
12104,CONCLUSIONS,The package provides clinicians with the option for immediate diagnosis and treatment of non-malaria fevers .
12105,CONCLUSIONS,The test-treat package now needs to be evaluated in other settings including primary health care facilities .
12106,BACKGROUND,The 2007 American College of Cardiologists/American Heart Association Guidelines on Perioperative Cardiac Evaluation and Care for Noncardiac Surgery is the standard for perioperative cardiac evaluation .
12107,BACKGROUND,Recent work has shown that residents and anesthesiologists do not apply these guidelines when tested .
12108,BACKGROUND,This research hypothesized that a decision support tool would improve adherence to this consensus guideline .
12109,METHODS,"Anesthesiology residents at four training programs participated in an unblinded , prospective , randomized , cross-over trial in which they completed two tests covering clinical scenarios ."
12110,METHODS,One quiz was completed from memory and one with the aid of an electronic decision support tool .
12111,METHODS,"Performance was evaluated by overall score ( % correct ) , number of incorrect answers with possibly increased cost or risk of care , and the amount of time required to complete the quizzes both with and without the cognitive aid ."
12112,METHODS,The primary outcome was the proportion of correct responses attributable to the use of the decision support tool .
12113,RESULTS,All anesthesiology residents at four institutions were recruited and 111 residents participated .
12114,RESULTS,"Use of the decision support tool resulted in a 25 % improvement in adherence to guidelines compared with memory alone ( P < 0.0001 ) , and participants made 77 % fewer incorrect responses that would have resulted in increased costs ."
12115,RESULTS,Use of the tool was associated with a 3.4-min increase in time to complete the test ( P < 0.001 ) .
12116,CONCLUSIONS,Use of an electronic decision support tool significantly improved adherence to the guidelines as compared with memory alone .
12117,CONCLUSIONS,The decision support tool also prevented inappropriate management steps possibly associated with increased healthcare costs .
12118,OBJECTIVE,"To examine the relationships between stressful life events and physiological measures , adherence to prescribed oral medication regimens , depressive symptoms , and impaired quality of life ( QoL ) in adolescents with recent-onset type 2 diabetes ( T2D ) ."
12119,METHODS,Data were collected from 497 ethnically diverse participants ( 66 % female ) in the final year of the Treatment Options for Type 2 Diabetes in Adolescents and Youth multicenter clinical trial .
12120,METHODS,Exposure to 32 possible events over the previous year and rating of subsequent distress were collected by self-report and summarized as a major stressors score .
12121,METHODS,"This score was analyzed for relationship to glycemic control ( hemoglobin A1c and treatment failure ) , body mass index , diagnosis of hypertension or triglyceride dyslipidemia , adherence to a prescribed oral medication regimen , presence of depressive symptoms , and impaired QoL ."
12122,RESULTS,"The total number of major stressful life events in the adolescents with T2D was calculated , with 33 % reporting none , 67 % reporting 1 , 47 % reporting 2 , 33 % reporting 3 , and 20 % reporting 4 ."
12123,RESULTS,There were no associations between the major stressors score and physiological measures or diagnosis of comorbidities .
12124,RESULTS,"The odds of medication nonadherence increased significantly from those reporting 1 major stressor ( OR , 1.58 ; P = .0265 ) to those reporting 4 major stressors ( OR , 2.70 ; P = .0009 ) ."
12125,RESULTS,Significant odds of elevated depressive symptoms and impaired QoL were also found with increased reporting of major stressors .
12126,CONCLUSIONS,Exposure to major stressful life events is associated with lower adherence to prescribed oral medication regimens and impaired psychosocial functioning in adolescents with T2D .
12127,OBJECTIVE,Low back pain ( LBP ) is responsible for more than 2.5 million visits to US emergency departments ( EDs ) annually .
12128,OBJECTIVE,"These patients are usually treated with nonsteroidal anti-inflammatory drugs , acetaminophen , opioids , or skeletal muscle relaxants , often in combination ."
12129,OBJECTIVE,To compare functional outcomes and pain at 1 week and 3 months after an ED visit for acute LBP among patients randomized to a 10-day course of ( 1 ) naproxen + placebo ; ( 2 ) naproxen + cyclobenzaprine ; or ( 3 ) naproxen + oxycodone/acetaminophen .
12130,METHODS,"This randomized , double-blind , 3-group study was conducted at one urban ED in the Bronx , New York City ."
12131,METHODS,"Patients who presented with nontraumatic , nonradicular LBP of 2 weeks ' duration or less were eligible for enrollment upon ED discharge if they had a score greater than 5 on the Roland-Morris Disability Questionnaire ( RMDQ ) ."
12132,METHODS,The RMDQ is a 24-item questionnaire commonly used to measure LBP and related functional impairment on which 0 indicates no functional impairment and 24 indicates maximum impairment .
12133,METHODS,"Beginning in April 2012 , a total of 2588 patients were approached for enrollment ."
12134,METHODS,"Of the 323 deemed eligible for participation , 107 were randomized to receive placebo and 108 each to cyclobenzaprine and to oxycodone/acetaminophen ."
12135,METHODS,Follow-up was completed in December 2014 .
12136,METHODS,"All participants were given 20 tablets of naproxen , 500 mg , to be taken twice a day ."
12137,METHODS,"They were randomized to receive either 60 tablets of placebo ; cyclobenzaprine , 5 mg ; or oxycodone , 5 mg/acetaminophen , 325 mg ."
12138,METHODS,"Participants were instructed to take 1 or 2 of these tablets every 8 hours , as needed for LBP ."
12139,METHODS,They also received a standardized 10-minute LBP educational session prior to discharge .
12140,METHODS,The primary outcome was improvement in RMDQ between ED discharge and 1 week later .
12141,RESULTS,Demographic characteristics were comparable among the 3 groups .
12142,RESULTS,"At baseline , median RMDQ score in the placebo group was 20 ( interquartile range [ IQR ] ,17 -21 ) , in the cyclobenzaprine group 19 ( IQR,17-21 ) , and in the oxycodone/acetaminophen group 20 ( IQR,17-22 ) ."
12143,RESULTS,"At 1-week follow-up , the mean RMDQ improvement was 9.8 in the placebo group , 10.1 in the cyclobenzaprine group , and 11.1 in the oxycodone/acetaminophen group ."
12144,RESULTS,"Between-group difference in mean RMDQ improvement for cyclobenzaprine vs placebo was 0.3 ( 98.3 % CI , -2.6 to 3.2 ; P = .77 ) , for oxycodone/acetaminophen vs placebo , 1.3 ( 98.3 % CI , -1.5 to 4.1 ; P = .28 ) , and for oxycodone/acetaminophen vs cyclobenzaprine , 0.9 ( 98.3 % CI , -2.1 to 3.9 ; P = .45 ) ."
12145,CONCLUSIONS,"Among patients with acute , nontraumatic , nonradicular LBP presenting to the ED , adding cyclobenzaprine or oxycodone/acetaminophen to naproxen alone did not improve functional outcomes or pain at 1-week follow-up ."
12146,CONCLUSIONS,These findings do not support use of these additional medications in this setting .
12147,BACKGROUND,clinicaltrials.gov Identifier : NCT01587274 .
12148,OBJECTIVE,"To improve survival rates in children with acute myeloid leukemia ( AML ) , we evaluated gemtuzumab-ozogamicin ( GO ) , a humanized immunoconjugate targeted against CD33 , as an alternative to further chemotherapy dose escalation ."
12149,OBJECTIVE,Our primary objective was to determine whether adding GO to standard chemotherapy improved event-free survival ( EFS ) and overall survival ( OS ) in children with newly diagnosed AML .
12150,OBJECTIVE,Our secondary objectives examined outcomes by risk group and method of intensification .
12151,METHODS,"Children , adolescents , and young adults ages 0 to 29 years with newly diagnosed AML were enrolled onto Childrens Oncology Group trial AAML0531 and then were randomly assigned to either standard five-course chemotherapy alone or to the same chemotherapy with two doses of GO ( 3 mg/m2/dose ) administered once in induction course 1 and once in intensification course 2 ( two of three ) ."
12152,RESULTS,"There were 1,022 evaluable patients enrolled ."
12153,RESULTS,"GO significantly improved EFS ( 3 years : 53.1 % v. 46.9 % ; hazard ratio [ HzR ] , 0.83 ; 95 % CI , 0.70 to 0.99 ; P. 04 ) but not OS ( 3 years : 69.4 % v. 65.4 % ; HzR , 0.91 ; 95 % CI , 0.74 to 1.13 ; P = .39 ) ."
12154,RESULTS,"Although remission was not improved ( 88 % v. 85 % ; P = .15 ) , posthoc analyses found relapse risk ( RR ) was significantly reduced among GO recipients overall ( 3 years : 32.8 % v. 41.3 % ; HzR , 0.73 ; 95 % CI , 0.58 to 0.91 ; P = .006 ) ."
12155,RESULTS,"Despite an increased postremission toxic mortality ( 3 years : 6.6 % v. 4.1 % ; HzR , 1.69 ; 95 % CI , 0.93 to 3.08 ; P = .09 ) , disease-free survival was better among GO recipients ( 3 years : 60.6 % v. 54.7 % ; HzR , 0.82 ; 95 % CI , 0.67 to 1.02 ; P = .07 ) ."
12156,CONCLUSIONS,GO added to chemotherapy improved EFS through a reduction in RR for children and adolescents with AML .
12157,BACKGROUND,Fatigue is one of many unintended consequences of shift work in the nursing profession .
12158,BACKGROUND,Natural health products ( NHPs ) for fatigue are becoming an increasingly popular topic of clinical study ; one such NHP is Rhodiola rosea .
12159,BACKGROUND,"A well-designed , rigorously conducted randomized controlled trial is required before therapeutic claims for this product can be made ."
12160,OBJECTIVE,To compare the efficacy of R. rosea with placebo for reducing fatigue in nursing students on shift work .
12161,METHODS,"A parallel-group randomized , double-blinded , placebo-controlled trial of 18-55 year old students from the Faculty of Nursing from the University of Alberta , participating in clinical rotations between January 2011 and September 2011 ."
12162,METHODS,Participants were randomized to take 364 mg of either R. rosea or identical placebo at the start of their wakeful period and up to one additional capsule within the following four hours on a daily basis over a 42-day period .
12163,RESULTS,"The primary outcome was reduction in fatigue over the 42-day trial period measured using the Vitality-subscale of the RAND-36 , cross-validated by the visual analogue scale for fatigue ( VAS-F ) ."
12164,RESULTS,"Secondary outcomes included health-related quality of life , individualized outcomes assessment , and adverse events ."
12165,RESULTS,A total of 48 participants were randomized to R. rosea ( n = 24 ) or placebo ( n = 24 ) .
12166,RESULTS,"The mean change in scores on the Vitality-subscale was significantly different between the study groups at day 42 in favor of placebo ( -17.3 ( 95 % CI -30.6 , -3.9 ) , p = 0.011 ) , The mean change in scores on the VAS-F was also significantly difference between study groups at day 42 in favour of placebo ( 1.9 ( 95 % CI 0.4 , 3.5 ) , p = 0.015 ) ."
12167,RESULTS,Total number of adverse events did not differ between R. rosea and placebo groups .
12168,CONCLUSIONS,"This study indicates that among nursing students on shift work , a 42-day course of R. Rosea compared with placebo worsened fatigue ; however , the results should be interpreted with caution ."
12169,BACKGROUND,Clinicaltrials.gov NCT01278992 .
12170,BACKGROUND,Stroke is one of the most common causes of cognitive impairment .
12171,BACKGROUND,"Up to 75 % of stroke survivors may be considered to have cognitive impairment , which severely limit individual autonomy for successful reintegration into family , work and social life ."
12172,BACKGROUND,The clinical efficacy of acupuncture with Baihui ( DU20 ) and Shenting ( DU24 ) in stroke and post-stroke cognitive impairment has been previously demonstrated .
12173,BACKGROUND,Computer-assisted cognitive training is part of conventional cognitive rehabilitation and has also shown to be effective in improvement of cognitive function of affected patients .
12174,BACKGROUND,"However , the cognitive impairment after stroke is so complexity that one single treatment can not resolve effectively ."
12175,BACKGROUND,"Besides , the effects of acupuncture and RehaCom cognitive training have not been systematically compared , nor has the possibility of a synergistic effect of combination of the two therapeutic modalities been evaluated ."
12176,BACKGROUND,Our primary aim of this trial is to evaluate the synergistic effect of acupuncture and RehaCom cognitive training on cognitive dysfunction after stroke .
12177,METHODS,A randomized controlled trial of 2 2 factorial design will be conducted in the Rehabilitation Hospital Affiliated to Fujian University of Traditional Chinese Medicine .
12178,METHODS,"A total of 240 patients with cognitive dysfunction after stroke who meet the eligibility criteria will be recruited and randomized into RehaCom training group , acupuncture group , a combination of both or control group in a 1:1:1:1 ratio ."
12179,METHODS,All patients will receive conventional treatment .
12180,METHODS,"The interventions will last for 12 weeks ( 30 min per day , Monday to Friday every week ) ."
12181,METHODS,"Evaluations will be conducted by blinded assessors at baseline and again at 4 , 8 and 12 weeks ."
12182,METHODS,"Outcome measurements include mini-mental state examination ( MMSE ) , Montreal cognitive assessments ( MoCA ) , functional independence measure scale ( FIM ) and adverse events ."
12183,CONCLUSIONS,The results of this trial are expected to clarify the synergistic effect of acupuncture and RehaCom cognitive training on cognitive dysfunction after stroke .
12184,CONCLUSIONS,"Furthermore , to confirm whether combined or alone of acupuncture and RehaCom cognitive training , is more effective than conventional treatment in the management of post-stroke cognitive dysfunction ."
12185,BACKGROUND,Chinese Clinical Trial Registry : ChiCTR-TRC-13003704 .
12186,BACKGROUND,Anastomotic leakage of pancreaticojejunostomy ( PJ ) remains the single most important source of morbidity after pancreaticoduodenectomy ( PD ) .
12187,BACKGROUND,The primary aim of this randomized clinical trial comparing PG with PJ after PD was to test the hypothesis that invaginated PG would result in a lower rate and severity of pancreatic fistula .
12188,METHODS,Patients undergoing PD were randomized to receive either a duct-to-duct PJ or a double-layer invaginated PG .
12189,METHODS,"The primary endpoint was the rate of pancreatic fistula , using the definition of the International Study Group on Pancreatic Fistula ."
12190,METHODS,"Secondary endpoints were the evaluation of severe abdominal complications ( Clavien-Dindo grade IIIa or above ) , endocrine and exocrine function ."
12191,RESULTS,"Of 123 patients randomized , 58 underwent PJ and 65 had PG ."
12192,RESULTS,"The incidence of pancreatic fistula was significantly higher following PJ than for PG ( 20 of 58 versus 10 of 65 respectively ; P = 0.014 ) , as was the severity of pancreatic fistula ( grade A : 2 versus 5 per cent ; grade B-C : 33 versus 11 per cent ; P = 0.006 ) ."
12193,RESULTS,"The hospital readmission rate for complications was significantly lower after PG ( 6 versus 24 per cent ; P = 0.005 ) , weight loss was lower ( P = 0.025 ) and exocrine function better ( P = 0.022 ) ."
12194,CONCLUSIONS,The rate and severity of pancreatic fistula was significantly lower with this PG technique compared with that following PJ .
12195,BACKGROUND,ISRCTN58328599 ( http://www.controlled-trials.com ) .
12196,OBJECTIVE,Predictors of outcome after aneurysmal subarachnoid hemorrhage have been determined previously through hypothesis-driven methods that often exclude putative covariates and require a priori knowledge of potential confounders .
12197,OBJECTIVE,"Here , we apply a data-driven approach , principal component analysis , to identify baseline patient phenotypes that may predict neurological outcomes ."
12198,METHODS,Principal component analysis was performed on 120 subjects enrolled in a prospective randomized trial of clazosentan for the prevention of angiographic vasospasm .
12199,METHODS,"Correlation matrices were created using a combination of Pearson , polyserial , and polychoric regressions among 46 variables ."
12200,METHODS,"Scores of significant components ( with eigenvalues > 1 ) were included in multivariate logistic regression models with incidence of severe angiographic vasospasm , delayed ischemic neurological deficit , and long-term outcome as outcomes of interest ."
12201,RESULTS,Sixteen significant principal components accounting for 74.6 % of the variance were identified .
12202,RESULTS,"A single component dominated by the patients ' initial hemodynamic status , World Federation of Neurosurgical Societies score , neurological injury , and initial neutrophil/leukocyte counts was significantly associated with poor outcome ."
12203,RESULTS,"Two additional components were associated with angiographic vasospasm , of which one was also associated with delayed ischemic neurological deficit ."
12204,RESULTS,"The first was dominated by the aneurysm-securing procedure , subarachnoid clot clearance , and intracerebral hemorrhage , whereas the second had high contributions from markers of anemia and albumin levels ."
12205,CONCLUSIONS,"Principal component analysis , a data-driven approach , identified patient phenotypes that are associated with worse neurological outcomes ."
12206,CONCLUSIONS,Such data reduction methods may provide a better approximation of unique patient phenotypes and may inform clinical care as well as patient recruitment into clinical trials .
12207,BACKGROUND,http://www.clinicaltrials.gov .
12208,BACKGROUND,Unique identifier : NCT00111085 .
12209,OBJECTIVE,"To evaluate the effects of an Al ( 3 + ) - and Mg ( 2 + ) - containing antacid , ferrous sulfate , and calcium carbonate on the absorption of nemonoxacin in healthy humans ."
12210,METHODS,"Two single-dose , open-label , randomized , crossover studies were conducted in 24 healthy male Chinese volunteers ( 12 per study ) ."
12211,METHODS,"In Study 1 , the subjects orally received nemonoxacin ( 500 mg ) alone , or an antacid ( containing 318 mg of Al ( 3 + ) and 496 mg of Mg ( 2 + ) ) plus nemonoxacin administered 2 h before , concomitantly or 4 h after the antacid ."
12212,METHODS,"In Study 2 , the subjects orally received nemonoxacin ( 500 mg ) alone , or nemonoxacin concomitantly with ferrous sulfate ( containing 60 mg of Fe ( 2 + ) ) or calcium carbonate ( containing 600 mg of Ca ( 2 + ) ) ."
12213,RESULTS,"Concomitant administration of nemonoxacin with the antacid significantly decreased the area under the concentration-time curve from time 0 to infinity ( AUC0 - ) for nemonoxacin by 80.5 % , the maximum concentration ( Cmax ) by 77.8 % , and urine recovery ( Ae ) by 76.3 % ."
12214,RESULTS,"Administration of nemonoxacin 4 h after the antacid decreased the AUC0 - for nemonoxacin by 58.0 % , Cmax by 52.7 % , and Ae by 57.7 % ."
12215,RESULTS,Administration of nemonoxacin 2 h before the antacid did not affect the absorption of nemonoxacin .
12216,RESULTS,"Administration of nemonoxacin concomitantly with ferrous sulfate markedly decreased AUC0 - by 63.7 % , Cmax by 57.0 % , and Ae by 59.7 % , while concomitant administration of nemonoxacin with calcium carbonate mildly decreased AUC0 - by 17.8 % , Cmax by 14.3 % , and Ae by 18.4 % ."
12217,CONCLUSIONS,"Metal ions , Al ( 3 + ) , Mg ( 2 + ) , and Fe ( 2 + ) markedly decreased the absorption of nemonoxacin in healthy Chinese males , whereas Ca ( 2 + ) had much weaker effects ."
12218,CONCLUSIONS,"To avoid the effects of Al ( 3 + ) and Mg ( 2 + ) - containing drugs , nemonoxacin should be administered 2 h before them ."
12219,OBJECTIVE,"This study was conducted to compare the effectiveness of PETTLEP-based imagery , and traditional imagery interventions , on performance of passing skill in volleyball ."
12220,METHODS,"36 beginners male volleyball players ( Mage = 13.5 years , SD = 0.55 years ) with 5-6 months practice experience were randomly assigned to one of three groups : physical practice + PETTLEP imagery ( PP+PI ) ( N. = 15 ) , physical practice + traditional imagery ( N. = 15 ) , and physical practice only ( PP ; N. = 15 ) ."
12221,METHODS,Subjects in the PP+PI group applied the seven components of PETTLEP imagery training ; whereas subjects in the PP+TI engaged in a relaxation session before imagery and used response laden motor imagery scripts .
